20151101
58         NIEVRE                        
LIEU-DIT   LES BOULEAUX               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BOURGEODERIE            
LIEU-DIT   LE BUISSON CREUX           
LIEU-DIT   LE BUISSON GUILLAUME       
LIEU-DIT   CHAMP BOUILLOT             
LIEU-DIT   CHAMP DU COLOMBIER         
LIEU-DIT   CHAMP DE NISOT             
LIEU-DIT   CHAMP PINNOT               
LIEU-DIT   LES CHAMPS DE BOUILLANT    
LIEU-DIT   LES CHAMPS DE LA CHENIERE  
LIEU-DIT   LES CHAMPS DE LA MONTAIN   
LIEU-DIT   LES CHAMPS GIRAULT         
LIEU-DIT   CHAUME DE BOUILLANT        
LIEU-DIT   CHAUME DES CHEVILLES       
LIEU-DIT   LA CHAUME DES VERDEREAUX   
LIEU-DIT   CHAUME DES VOILEAUX        
LIEU-DIT   LES CHAUMES                
LIEU-DIT   LES CHENEVIERES            
LIEU-DIT   LA CHENIERE                
LIEU-DIT   LA CHENIEVRE               
LIEU-DIT   LE CONROY                  
LIEU-DIT   LES COTES                  
LIEU-DIT   LE COUDRET                 
LIEU-DIT   LES CROTS MARECHAUX        
LIEU-DIT   LA DUBANDERIE              
LIEU-DIT   LE FOUR AUX PRETRES        
LIEU-DIT   FOURBAS                    
LIEU-DIT   LES FOURCHES               
LIEU-DIT   LE FOURNEAU                
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LE GATEFER                 
LIEU-DIT   LA GEODERIE                
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LA GRANDE TERRASSE         
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS TIERS           
LIEU-DIT   LE GROS BUISSON            
LIEU-DIT   LES MARISAUX               
LIEU-DIT   MELAINE                    
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   LE MONTAUBRI               
LIEU-DIT   LA MOTTE SAUGEE            
LIEU-DIT   LES MOUILLERES             
LIEU-DIT   LA MOULIERE                
LIEU-DIT   LES MOUTIOTS D EN BAS      
LIEU-DIT   LES MOUTIOTS D EN HAUT     
LIEU-DIT   LES AUCHAPTS               
LIEU-DIT   LES PETITS CHAMPS          
LIEU-DIT   LES PETITS TIERS           
LIEU-DIT   PILLES                     
LIEU-DIT   LE POIRIER BABIS           
LIEU-DIT   LA POISSE                  
LIEU-DIT   LE PONT                    
LIEU-DIT   LA POTANCE                 
LIEU-DIT   LA POULINERIE              
LIEU-DIT   PRE DU CHATEAU             
LIEU-DIT   LE PRE NEUF                
LIEU-DIT   LES PRES DE L EGLISE       
LIEU-DIT   LA PROCURERIE              
LIEU-DIT   LA RESERVE                 
LIEU-DIT   LES SOUCIS                 
LIEU-DIT   SOUS LA RUE                
LIEU-DIT   TERRE DU NOYER             
LIEU-DIT   TERRE BLANCHE              
LIEU-DIT   TERRES DES LOUIS D OR      
LIEU-DIT   TERRES DES BASSOTS         
LIEU-DIT   TERRES DES POIRIERS        
LIEU-DIT   LES USAGES                 
LIEU-DIT   VALLEE BARNIER             
LIEU-DIT   LES VOILAUX                
LIEU-DIT   LES VOILEAUX               
LIEU-DIT   LES VRILLIETTES            
LIEU-DIT   TERRES DE LA BOURGEODERIE  
LIEU-DIT   LA BECASSE                 
LIEU-DIT   CROT DE LA NOUE            
LIEU-DIT   LE FOULON MARBRE           
LIEU-DIT   LES GRANDS MOULINS         
LIEU-DIT   LA MAISON BLEUE            
LIEU-DIT   LES MOUTIOTS               
LIEU-DIT   LE VAUDOISY                
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LA SEIGNE DE PILLES        
PLACE      DE L'ACACIA                
RUE        DE BOUILLANT               
CHEMIN     DES BOULEAUX               
IMPASSE    DU BOURG                   
RUE        DU BOURG                   
CHEMIN     DU CHATEAU                 
ROUTE      DE CIEZ                    
CHEMIN     DU CROT DE LA NOUE         
ROUTE      D'ENTRAINS SUR NOHAIN      
RUE        DES GRANDS MOULINS         
ROUTE      DE MENOU                   
RUE        DU MONTAUBRI               
RUE        DES MOUTIOTS               
IMPASSE    DES MOUTIOTS D'EN HAUT     
RUE        DE PILLES                  
RUE        DU PONT                    
RUE        DE LA SEIGNE DE PILLES     
           commune :     COURCELLES                     departement : NIEVRE                        
LIEU-DIT   LES BAILLARDES             
LIEU-DIT   BAZARNE                    
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   BERCELLE                   
LIEU-DIT   SUR LE BIEF                
LIEU-DIT   BOIS BRUNOT                
LIEU-DIT   BOIS CLAIR                 
LIEU-DIT   BOIS DE LA COTE            
LIEU-DIT   BOIS DU FOUR               
LIEU-DIT   LE BONNET ROUGE            
LIEU-DIT   LES BOUILLES               
LIEU-DIT   LE BOURG                   
LIEU-DIT   BUISSON DES ROCHES         
LIEU-DIT   BUISSON ROND               
LIEU-DIT   LES CAFRIGNOLES            
LIEU-DIT   LES CHAILLOUX              
LIEU-DIT   CHAMP BAYARD               
LIEU-DIT   CHAMP DE LA CHIENNE        
LIEU-DIT   LE CHAMP DE LA CHIENNE     
LIEU-DIT   CHAMP DE LA MARNIERE       
LIEU-DIT   CHAMP DES JUMENTS          
LIEU-DIT   CHAMP DES NOYERS           
LIEU-DIT   CHAMP DES POIRIERS         
LIEU-DIT   CHAMP SIMON                
LIEU-DIT   LES CHAMPS BARBET          
LIEU-DIT   CHAMPS CAILLOTTE           
LIEU-DIT   LES CHARDONNERETS          
LIEU-DIT   CHATEAU DE BAZARNE         
LIEU-DIT   CHATEAU DE CHAUMONT        
LIEU-DIT   LES CHAUMES                
LIEU-DIT   CHAUMONT                   
LIEU-DIT   LE CHEMIN DE SAUZAY        
LIEU-DIT   CHESSY                     
LIEU-DIT   LES CHIES DE CHIVRES       
LIEU-DIT   LES CHIES DE COURCELLES    
LIEU-DIT   CHIVRES                    
LIEU-DIT   LA CITERNE                 
LIEU-DIT   SUR LE CLOCHER             
LIEU-DIT   LE CLOITRE                 
LIEU-DIT   LE CLOS ATRE               
LIEU-DIT   LES COQUES                 
LIEU-DIT   LA CORNILLE                
LIEU-DIT   COTE DE RACHETAIGNE        
LIEU-DIT   COTE DU FOUR               
LIEU-DIT   COTE MIGNOTTE              
LIEU-DIT   LES CRESSIOTS              
LIEU-DIT   SUR LA CREUSE              
LIEU-DIT   LE CREUSOT                 
LIEU-DIT   LES CRIS                   
LIEU-DIT   LA CROIX ROUGE             
LIEU-DIT   CROT DE VAUBIEN            
LIEU-DIT   LA DEQUILLIERE             
LIEU-DIT   DERRIERE LA MARE           
LIEU-DIT   LE DESSOUS DE VAUVILLIERS  
LIEU-DIT   LE DESSUS DES CREUSOTS     
LIEU-DIT   DESSUS VAUVILLIERS         
LIEU-DIT   L ECHEINTRE ETIENNE        
LIEU-DIT   ENTRE LES DEUX CHEMINS     
LIEU-DIT   LE FAITE DE LA RUE         
LIEU-DIT   FANCY                      
LIEU-DIT   LA FERRANDE                
LIEU-DIT   LES FOLIES                 
LIEU-DIT   FONTAINE BOULEAU           
LIEU-DIT   FONTUARDE                  
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LA GRANDE CHAUME           
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LES GRANDES HATES          
LIEU-DIT   LES GRANDES TEILLES        
LIEU-DIT   LES GRAPILLONS             
LIEU-DIT   LES HATES                  
LIEU-DIT   L HELENE                   
LIEU-DIT   LAVAU                      
LIEU-DIT   LE MAGNE FORCE             
LIEU-DIT   LA MERCIERE                
LIEU-DIT   LE MILLERY                 
LIEU-DIT   LA MODLEE                  
LIEU-DIT   LE MOUTHIER                
LIEU-DIT   LA NOUE                    
LIEU-DIT   L OIGELOT                  
LIEU-DIT   L OURLIE                   
LIEU-DIT   LE PARC                    
LIEU-DIT   LE PEROU                   
LIEU-DIT   LA PETITE HELENE           
LIEU-DIT   LA PETITE ROUTE DES NOYERS 
LIEU-DIT   LES PETITES TEILLES        
LIEU-DIT   PIECE DE LA PETITE CREUZE  
LIEU-DIT   LA PIECE DES COQUES        
LIEU-DIT   LA PIECE DES LUES          
LIEU-DIT   LA PILE                    
LIEU-DIT   PRE DE L ABIME             
LIEU-DIT   LES FRE JACQUES            
LIEU-DIT   LES PRELES                 
LIEU-DIT   SUR LES PRES               
LIEU-DIT   PRES CHARMOIS              
LIEU-DIT   PRES DU MOULIN             
LIEU-DIT   PRES HACHE                 
LIEU-DIT   RACHETAIGNE                
LIEU-DIT   LA RESERVE                 
LIEU-DIT   LA RIDELEE                 
LIEU-DIT   LE ROUPI                   
LIEU-DIT   LA RUE DE NANT             
LIEU-DIT   SOUS LE CREUSOT            
LIEU-DIT   SOUS LE MOUTHIER           
LIEU-DIT   SOUS LES VIGNES BLANCHES   
LIEU-DIT   SOUS RACHETAIGNE           
LIEU-DIT   LES TEILLES                
LIEU-DIT   LES TRAPINS                
LIEU-DIT   TROMPE VALET               
LIEU-DIT   TRONSECQ                   
LIEU-DIT   USAGES DE COURCELLES       
LIEU-DIT   VALLEE BERNON              
LIEU-DIT   VAUVILLIERS                
LIEU-DIT   VIGNES BLANCHES            
LIEU-DIT   VIGNES DE COURTEIL         
LIEU-DIT   PRES DE COURTEIL           
LIEU-DIT   COURTEIL                   
LIEU-DIT   PRE POINTU                 
RUE        DE BAZARNE                 
RUE        DU CHATEAU                 
ROUTE      DES COQUES                 
ROUTE      DE CORVOL                  
RUE        DES CRESSIOTS              
RUE        DES ECOLES                 
RUE        DE FANCY                   
RUE        DE LA FONTAINE BENITE      
RUE        FRANCOISE D ALBRET         
PASSAGE    DES LAVOIRS                
RUE        DU MOULIN CREUSE DE LAVAUT 
RUE        DE NANT                    
ROUTE      DE NEVERS                  
ALLEE      DES ORMES                  
RUE        ST BLIN                    
RUE        DE SOUS LES VIGNES         
           commune :     CRUX LA VILLE                  departement : NIEVRE                        
LIEU-DIT   L AUTREVELLE               
LIEU-DIT   BEAU CHARME                
LIEU-DIT   LES BEAUFOUX               
LIEU-DIT   BEAUREPLET                 
LIEU-DIT   BERDIGEOT                  
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LE BERLE                   
LIEU-DIT   LES BERSOTTES              
LIEU-DIT   LE BEUGNON                 
LIEU-DIT   BICHEROLLES                
LIEU-DIT   LES BOIS DE CRUX           
LIEU-DIT   BOIS DE LA GOUTTE DU CHARM 
LIEU-DIT   BOIS DE MOURRY             
LIEU-DIT   BOIS DE SARROY             
LIEU-DIT   LES BOIS DE VEVRE          
LIEU-DIT   BOIS DE VORROUX            
LIEU-DIT   BOIS DU COUDRAY            
LIEU-DIT   BOIS DU PASSAGE            
LIEU-DIT   BOIS DU REVENU             
LIEU-DIT   LE BONSURDIEAU             
LIEU-DIT   LES BORDES                 
LIEU-DIT   LA BOREE                   
LIEU-DIT   LES BOUCHOTS               
LIEU-DIT   LES BOUILLEES              
LIEU-DIT   LES BOULETS                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOURGUERAULT            
LIEU-DIT   BOUTON DE PLOMG            
LIEU-DIT   LES BOUTS THIBAULT         
LIEU-DIT   LA BRESSE                  
LIEU-DIT   LES BRIEES                 
LIEU-DIT   LE BREOUX                  
LIEU-DIT   LES BRIOUX                 
LIEU-DIT   LA BROUSSE                 
LIEU-DIT   LE BRUGNON                 
LIEU-DIT   LES BRULEES                
LIEU-DIT   BUCHENAUD                  
LIEU-DIT   BUISSON BIDOUX             
LIEU-DIT   BUISSON BOULU              
LIEU-DIT   LE BUISSON DES MAUROUEES   
LIEU-DIT   BUISSON DU MOULIN          
LIEU-DIT   BUISSON FROSSARD           
LIEU-DIT   BUISSON GERMAIN            
LIEU-DIT   BUISSON ROLAND             
LIEU-DIT   BUISSON RYAULOT            
LIEU-DIT   LE CENCENOT                
LIEU-DIT   LES CHAILLOUX              
LIEU-DIT   CHALLUEE                   
LIEU-DIT   CHAMP BOUTANRY             
LIEU-DIT   CHAMP BUREAU               
LIEU-DIT   CHAMP CERISIER             
LIEU-DIT   CHAMP COLINET              
LIEU-DIT   CHAMP CONTENT              
LIEU-DIT   CHAMP DE BEAUREPLET        
LIEU-DIT   CHAMPS DE BERDIGEOT        
LIEU-DIT   CHAMP DE BON OEIL          
LIEU-DIT   CHAMP DE CHENE             
LIEU-DIT   CHAMP DE L EMIGRE          
LIEU-DIT   CHAMP DE LA CROIX          
LIEU-DIT   CHAMP DE LA FONTAINE       
LIEU-DIT   CHAMP DE LA PLANCHE        
LIEU-DIT   CHAMP DE TERROT            
LIEU-DIT   CHAMP DE VERRER            
LIEU-DIT   CHAMPS DERRIERE            
LIEU-DIT   CHAMP DES BARRES           
LIEU-DIT   CHAMP DES PIERRES          
LIEU-DIT   CHAMPS DES SUEES           
LIEU-DIT   CHAMP DES VERNOIS          
LIEU-DIT   CHAMP DU CORBIER           
LIEU-DIT   CHAMP GASSELIN             
LIEU-DIT   CHAMP LARIOT               
LIEU-DIT   CHAMP LEGUE                
LIEU-DIT   CHAMP MALIN                
LIEU-DIT   CHAMP MECARTEAU            
LIEU-DIT   CHAMPS NAULOIS             
LIEU-DIT   CHAMP PAILLOT              
LIEU-DIT   CHAMP PARAT                
LIEU-DIT   CHAMP PAULIN               
LIEU-DIT   CHAMP PELOT                
LIEU-DIT   CHAMP PRENOT               
LIEU-DIT   CHAMP RIAU                 
LIEU-DIT   CHAMP RICHARD              
LIEU-DIT   CHAMP ROLAND               
LIEU-DIT   CHAMP ROLLIN               
LIEU-DIT   CHAMP ROND                 
LIEU-DIT   CHAMP TRAN                 
LIEU-DIT   CHAMP VIGNOT               
LIEU-DIT   CHAMPRIN                   
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   LES CHAMPS BE              
LIEU-DIT   CHAMPS BERNET              
LIEU-DIT   LES CHAMPS BOURG           
LIEU-DIT   LES CHAMPS CHATEL          
LIEU-DIT   CHAMPS DE FONTENELLE       
LIEU-DIT   CHAMPS DE L ALLIOT         
LIEU-DIT   CHAMPS DE LA FAMILLE       
LIEU-DIT   CHAMPS DE LA GOUTTE        
LIEU-DIT   CHAMPS DE LA GRANGE        
LIEU-DIT   CHAMPS DE LA JUSTICE       
LIEU-DIT   LES CHAMPS DE LA SANCENEE  
LIEU-DIT   CHAMPS DE LANDAT           
LIEU-DIT   CHAMPS DE MONTPILLARD      
LIEU-DIT   CHAMPS DEPIGE              
LIEU-DIT   CHAMP DES CLAIRS           
LIEU-DIT   CHAMPS DES FAUX            
LIEU-DIT   CHAMP DES QUATRE           
LIEU-DIT   CHAMPS DU BOUT             
LIEU-DIT   CHAMPS DU COUDRAY          
LIEU-DIT   CHAMPS FOLIE               
LIEU-DIT   CHAMPS GAUTHIER            
LIEU-DIT   CHAMPS MOULURAUX           
LIEU-DIT   CHAMPS PARTS               
LIEU-DIT   CHAMPS POYEUX              
LIEU-DIT   CHAMPS VIOUX               
LIEU-DIT   CHARPONNIER                
LIEU-DIT   LE CHAUFRONT               
LIEU-DIT   CHAUME COTTET              
LIEU-DIT   CHAUME DE LA BIGUE         
LIEU-DIT   CHAUME DEJAR               
LIEU-DIT   CHAUME DES CHAMPS          
LIEU-DIT   CHAUME DES PRES            
LIEU-DIT   CHAUME MAGNIEN             
LIEU-DIT   LES CHAUMES                
LIEU-DIT   CHAUMES D ARON             
LIEU-DIT   LES CHENES VOLANTS         
LIEU-DIT   CLOISEAU                   
LIEU-DIT   LA COME                    
LIEU-DIT   LA COME DES POUZOTS        
LIEU-DIT   LES COMMES                 
LIEU-DIT   LES COPPES                 
LIEU-DIT   LA COUR MILLIEN            
LIEU-DIT   LES COUTURIOTS             
LIEU-DIT   LE CRET                    
LIEU-DIT   LA CREUSE                  
LIEU-DIT   CROT BLIN                  
LIEU-DIT   CROT DE FONTENAT           
LIEU-DIT   LA CURE                    
LIEU-DIT   LE DESSERTIS               
LIEU-DIT   LES DESSERTIS              
LIEU-DIT   LE DESSERTIS               
LIEU-DIT   LE DESSERTON               
LIEU-DIT   LA DURANTERIE              
LIEU-DIT   L ECART ROUGE              
LIEU-DIT   LES ECHARDES               
LIEU-DIT   LES ECHARDS                
LIEU-DIT   L ECHEINTRE A GAGNOT       
LIEU-DIT   L ECHEINTRE BEAU           
LIEU-DIT   L ECHEINTRE PIQUET         
LIEU-DIT   LES ECHEINTRES             
LIEU-DIT   LES EGADES                 
LIEU-DIT   L EMBOUCHE                 
LIEU-DIT   L ETANG                    
LIEU-DIT   ETANG D ARON               
LIEU-DIT   ETANG DE BEAUREPLET        
LIEU-DIT   ETANG DE BICHEROLLES       
LIEU-DIT   ETANG DE CHAUSSELAGE       
LIEU-DIT   ETANG DU MERLE             
LIEU-DIT   L ETANG MAUPAS             
LIEU-DIT   ETANG RUMENE               
LIEU-DIT   LES ETANGS NEUFS           
LIEU-DIT   LES FAUX                   
LIEU-DIT   FORCY                      
LIEU-DIT   LES FOUGERETS              
LIEU-DIT   LES FRETAIS                
LIEU-DIT   LES GARONS                 
LIEU-DIT   LE GAROU                   
LIEU-DIT   LA GAUDILLERIE             
LIEU-DIT   LA GOBLEE                  
LIEU-DIT   LE GODOT                   
LIEU-DIT   LA GOUTTE BEAU             
LIEU-DIT   LA GOUTTE DU CHARME        
LIEU-DIT   LA GOUTTE THIBAULT         
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LES GOUTTES D ARON         
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LE GRAND BOUSSOT           
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   GRAND CHAMP DE POUJEUX     
LIEU-DIT   LE GRAND LAC               
LIEU-DIT   GRAND MENETREUIL           
LIEU-DIT   LE GRAND PATUREAU          
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   GRAND PRE                  
LIEU-DIT   GRAND QUARTIER             
LIEU-DIT   LE GRAND QUARTIER          
LIEU-DIT   LE GRAND SAILLANT          
LIEU-DIT   GRAND VOIVRIN              
LIEU-DIT   LA GRANDE CHENEVIERE       
LIEU-DIT   LA GRANDE EMBOUCHE         
LIEU-DIT   LA GRANDE FORET D ARON     
LIEU-DIT   LA GRANDE HATE             
LIEU-DIT   LA GRANDE OUCHE            
LIEU-DIT   LA GRANDE VIGNE            
LIEU-DIT   GRANDES CHENEVIERES        
LIEU-DIT   LES GRANDS BRULES          
LIEU-DIT   GRANDS CHAMPS              
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS MOULERETS       
LIEU-DIT   LES GRANDS PETITS CHAMPS   
LIEU-DIT   LES GROS CHENES            
LIEU-DIT   LE GUE SANNOY              
LIEU-DIT   LES GUEGNAULTS             
LIEU-DIT   LES GUERIGNEAUX            
LIEU-DIT   LE GUIDON                  
LIEU-DIT   L HATE DE FOUELLE          
LIEU-DIT   L HATE DES POMMIERS        
LIEU-DIT   L HATE DU CROT             
LIEU-DIT   L HATE THIAU               
LIEU-DIT   LES HATES                  
LIEU-DIT   LES HATES DE POUSSEAUX     
LIEU-DIT   L HEURSON                  
LIEU-DIT   L HUIS GIGOT               
LIEU-DIT   LES IMBAULTS               
LIEU-DIT   LE JONC                    
LIEU-DIT   LE LANDAS                  
LIEU-DIT   LES LANGINS                
LIEU-DIT   LIGNY                      
LIEU-DIT   LES MACHURINS              
LIEU-DIT   LES MAGNES                 
LIEU-DIT   LE MAINBURIAU              
LIEU-DIT   LES MAISONS DU BOIS        
LIEU-DIT   MARMANTRAY                 
LIEU-DIT   LES MAUROIS                
LIEU-DIT   LES MAUROUEES              
LIEU-DIT   LA MELOISE                 
LIEU-DIT   LES MELOISES               
LIEU-DIT   LA MOIRE                   
LIEU-DIT   LES MOLLERETS              
LIEU-DIT   LES MONTFRANTS             
LIEU-DIT   MONTPILLARD                
LIEU-DIT   LES MONTS POIRIERS         
LIEU-DIT   LES MOTTES                 
LIEU-DIT   MOULIN D ARON              
LIEU-DIT   MOULIN DE LA REINE         
LIEU-DIT   MOULIN DE LA ROCHE         
LIEU-DIT   MOULIN DE MENETREUIL       
LIEU-DIT   MOURRY                     
LIEU-DIT   LA NOUE                    
LIEU-DIT   L OUCHE A COUDIEU          
LIEU-DIT   L OUCHE AU CHIEN           
LIEU-DIT   OUCHE BLANCHARD            
LIEU-DIT   L OUCHE BONNOT             
LIEU-DIT   L OUCHE BOUGAULT           
LIEU-DIT   L OUCHE CANAT              
LIEU-DIT   L OUCHE CARTEAU            
LIEU-DIT   OUCHE COUPOT               
LIEU-DIT   L OUCHE DE MAUX            
LIEU-DIT   L OUCHE DE VORROUX         
LIEU-DIT   L OUCHE DU PUITS           
LIEU-DIT   L OUCHE GUIGNOT            
LIEU-DIT   L OUCHE LANDAT             
LIEU-DIT   OUCHE MAGNIEN              
LIEU-DIT   OUCHE MARTEAU              
LIEU-DIT   L OUCHE PADOT              
LIEU-DIT   L OUCHE PRIN               
LIEU-DIT   OUCHE TEURIOT              
LIEU-DIT   L OUCHE TRAJAN             
LIEU-DIT   LES OUCHES                 
LIEU-DIT   OUCHES DE CLOISEAU         
LIEU-DIT   LES OUCHES DE LIGNY        
LIEU-DIT   LES OUCHES GENET           
LIEU-DIT   OUCHES MILLIEN             
LIEU-DIT   LES PALAIS                 
LIEU-DIT   LA PALLU                   
LIEU-DIT   LE PARC                    
LIEU-DIT   LE PARROT                  
LIEU-DIT   LA PATURE                  
LIEU-DIT   PATUREAU DES MANCHES       
LIEU-DIT   PATUREAU DESSUS            
LIEU-DIT   LES PATUREAUX              
LIEU-DIT   LES PERRIERES              
LIEU-DIT   PESAVELLE                  
LIEU-DIT   PETIT CHAUSSELAGE          
LIEU-DIT   PETIT MENETREUIL           
LIEU-DIT   LE PETIT PRE               
LIEU-DIT   PETIT PRE                  
LIEU-DIT   LE PETIT SAILLANT          
LIEU-DIT   LA PETITE EMBOUCHE         
LIEU-DIT   LA PETITE FORET            
LIEU-DIT   LA PETITE PRAT             
LIEU-DIT   LES PETITS CHAMPS          
LIEU-DIT   LES PETITS COUDRAY         
LIEU-DIT   LES PETITS FAUX            
LIEU-DIT   LES PETITS PRES            
LIEU-DIT   PIERSOT                    
LIEU-DIT   LES PLANCHES BACCINOT      
LIEU-DIT   LES PLANTES                
LIEU-DIT   LES PLATANES               
LIEU-DIT   LE POIRIER SAUVAGE         
LIEU-DIT   LA POREE                   
LIEU-DIT   LA PRAIRIE                 
LIEU-DIT   PRAIRIE DE COURLAVELLE     
LIEU-DIT   PRAIRIE DE GARSELIN        
LIEU-DIT   PRAIRIE DE MENETREUIL      
LIEU-DIT   PRAIRIE DE PONT            
LIEU-DIT   PRAIRIE DES PETITS FAUX    
LIEU-DIT   LES PRAIRIES DE PONT       
LIEU-DIT   LES PRAS                   
LIEU-DIT   LA PRAT MASSICOIT          
LIEU-DIT   PRE BERNARD                
LIEU-DIT   PRE BEUCHON                
LIEU-DIT   PRE BONGRAND               
LIEU-DIT   PRE BOUILLET               
LIEU-DIT   PRES CAUX                  
LIEU-DIT   PRE CHAMPLIN               
LIEU-DIT   PRE DAVAU                  
LIEU-DIT   PRE DE LA CHAUME           
LIEU-DIT   PRE DE LA CHEVRE           
LIEU-DIT   PRE DE LA PRA              
LIEU-DIT   PRE DE LA SERREE           
LIEU-DIT   PRE DES ECHARDS            
LIEU-DIT   PRE DEVANT                 
LIEU-DIT   PRE DU JONC                
LIEU-DIT   PRE GAVARD                 
LIEU-DIT   PRE IMBEAU                 
LIEU-DIT   PRE JACOT                  
LIEU-DIT   PRE MARIGNY                
LIEU-DIT   PRE MARTIN                 
LIEU-DIT   PRE MORIOT                 
LIEU-DIT   PRE MORT                   
LIEU-DIT   PRE NIERT                  
LIEU-DIT   LE PRE ROND                
LIEU-DIT   PRE VIAUD                  
LIEU-DIT   LA PRELE                   
LIEU-DIT   PRES BLANCHOT              
LIEU-DIT   LES PRES BOULUS            
LIEU-DIT   PRES BRULES                
LIEU-DIT   PRES DAVEL                 
LIEU-DIT   PRES DE CHALLUEE           
LIEU-DIT   LES PRES DE L ETANG        
LIEU-DIT   PRES DE LA COMME           
LIEU-DIT   PRES DE LA VELLE           
LIEU-DIT   PRES DE PONT               
LIEU-DIT   PRES DESSUS                
LIEU-DIT   PRES DU BERLE              
LIEU-DIT   PRES GAUJOUR               
LIEU-DIT   LES PRES JACQUOT           
LIEU-DIT   LES PRES MARTIN            
LIEU-DIT   LES PRES NAUDIN            
LIEU-DIT   PRES NEUFS                 
LIEU-DIT   PRES POTEAU                
LIEU-DIT   PRES SIMONIN               
LIEU-DIT   LES PRES VENSEES           
LIEU-DIT   PRES VIARD                 
LIEU-DIT   LES PRIAUX                 
LIEU-DIT   LES PRONCEAUX              
LIEU-DIT   LE QUARTIER AUX LOUPS      
LIEU-DIT   QUARTIER FRIAUD            
LIEU-DIT   LES QUEUDRES               
LIEU-DIT   LES RALOIS                 
LIEU-DIT   LES RAVEES                 
LIEU-DIT   LE REAU DE LA MENOUGE      
LIEU-DIT   LES REPES                  
LIEU-DIT   LES RIOTS                  
LIEU-DIT   LES ROUGEAUX               
LIEU-DIT   SAINT JEAN CAMUS           
LIEU-DIT   LES SERREES                
LIEU-DIT   SIGNALOUX                  
LIEU-DIT   SURLEAU                    
LIEU-DIT   LES TANTIBAUX              
LIEU-DIT   LE TARABON                 
LIEU-DIT   TERRES AUX GIBAULT         
LIEU-DIT   LES TERROIRS               
LIEU-DIT   LES TORETS                 
LIEU-DIT   LES TUTAINES               
LIEU-DIT   LES VALLEES BRULEES        
LIEU-DIT   LE VALLIOT                 
LIEU-DIT   LES VALLONS                
LIEU-DIT   LA VANNE                   
LIEU-DIT   LA VARENNE                 
LIEU-DIT   LES VERNES                 
LIEU-DIT   VIARD                      
LIEU-DIT   LA VIEILLE ECHEINTRE       
LIEU-DIT   LA VIGNE                   
LIEU-DIT   VIGNE AU ROI               
LIEU-DIT   LES VIGNES                 
LIEU-DIT   VIGNES BELOT               
LIEU-DIT   VIGNES MOREAU              
LIEU-DIT   LE VIGNEUX                 
LIEU-DIT   LA VOIVRE                  
LIEU-DIT   VORROUX                    
LIEU-DIT   POUJEUX                    
LIEU-DIT   COURLAVELLE                
LIEU-DIT   FONTENELLE                 
LIEU-DIT   LA JUSTICE                 
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LA ROCHE                   
LIEU-DIT   PRAIRIE DES FAUX           
LIEU-DIT   LA MENOUGE                 
RUE        DE L'AUTREVELLE            
ROUTE      DU BOURGUERAULT            
ROUTE      DES CHAMPARTS              
ROUTE      DES COMTES DE DAMAS        
RUE        DU DOCTEUR LEVEILLE        
ROUTE      DES ETANGS                 
RUE        DE LA GRAND'FONTAINE       
PLACE      DE LA MEMOIRE              
ROUTE      DE L'OUCHE AUX CHIENS      
RUE        DES PARROTS                
IMPASSE    DES PRES CAUX              
PLACE      DE LA RESISTANCE           
IMPASSE    DE LA SCIERIE              
RUE        DU TARABON                 
           commune :     CUNCY LES VARZY                departement : NIEVRE                        
LIEU-DIT   LES BARACOINS              
LIEU-DIT   LES BAUSCULES              
LIEU-DIT   LES BEUGNONS               
LIEU-DIT   BOIS CROPION               
LIEU-DIT   BOIS DE LA GRANGE ROUGE    
LIEU-DIT   BOIS DE LONGRAN            
LIEU-DIT   BOIS DU DUC                
LIEU-DIT   BOIS MASSON                
LIEU-DIT   LES BOUILLES               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BROUSSES               
LIEU-DIT   LES BROUSSIEAUX            
LIEU-DIT   LES BRULES                 
LIEU-DIT   BUISSON DES DARDS          
LIEU-DIT   BUISSON JANIN              
LIEU-DIT   BUISSON MARTIN             
LIEU-DIT   LE CARGEO                  
LIEU-DIT   LE CARRIJOT                
LIEU-DIT   LE CHAMP DE NOIX           
LIEU-DIT   CHAMP DE SAINT MARTIN      
LIEU-DIT   CHAMPS DU GOUR             
LIEU-DIT   CHAMP DU LAC               
