20151101
07         ARDECHE                       
CHEMIN     DE LA COSTE D AINAC        
CHEMIN     DU CROS DU LIBONES BAS     
CHEMIN     DU GOUTAIL                 
CHEMIN     DU CROS DU LIBONES HAUT    
CHEMIN     DE GRANGEON                
CHEMIN     DE L ECOLE DU LIBONES      
CHEMIN     DE L HUBAC                 
CHEMIN     DU LIBONES                 
CHEMIN     DU MOULIN LACOSTE          
CHEMIN     DU MAS DE LA VIGNE         
CHEMIN     DU PIC                     
CHEMIN     DU PRADEL                  
CHEMIN     DE LA ROCHE BASSE          
CHEMIN     DE LA ROCHE                
RUE        DE LADREYT                 
RUE        DE SERRE                   
RUE        DE RAYMOND                 
RUE        DE LA PLACE DE LA MAIRIE   
RUE        DE LA MAIRIE               
PLACE      DE L EGLISE                
PLACE      DE LA MAIRIE               
PLACE      DE LA BLACHERE             
           commune :     LABASTIDE-SUR-BESORGUES        departement : ARDECHE                       
LIEU-DIT   LES ABROUS                 
LIEU-DIT   L ADREYT DE CHAMBELLE      
LIEU-DIT   L ADREYT DE FRETISSE       
LIEU-DIT   L ADREYT DE NEYRE NUIT     
LIEU-DIT   L ADREYT DE RICHIER        
LIEU-DIT   LES AGADES                 
LIEU-DIT   L ALIZIER                  
LIEU-DIT   L ASPERGETTE               
LIEU-DIT   LES AULAGNES               
LIEU-DIT   L AUPELYERE                
LIEU-DIT   L AYRE                     
LIEU-DIT   BARTHE                     
LIEU-DIT   LA BASTIDE                 
LIEU-DIT   LA BERLIE                  
LIEU-DIT   LES BOUCHEYRES             
LIEU-DIT   LE BOUSSIER                
LIEU-DIT   BRAOU                      
LIEU-DIT   LA BRUYERE                 
LIEU-DIT   LE CAYRAS                  
LIEU-DIT   LE CAYRON                  
LIEU-DIT   CELIBONNE                  
LIEU-DIT   LA CHABANNE                
LIEU-DIT   CHAMBELLE                  
LIEU-DIT   LA CHAMPELLE               
LIEU-DIT   CHANTE OISEAU              
LIEU-DIT   CHANTE MERLE               
LIEU-DIT   CHASTAGNIER FARDE          
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LE CHAUMEL                 
LIEU-DIT   LA CHAZE                   
LIEU-DIT   CLOS DU VIALIN             
LIEU-DIT   LE CLOS POINTU             
LIEU-DIT   LE CLOUTAS                 
LIEU-DIT   COMBAUBEL                  
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE GROSSE               
LIEU-DIT   LA COSTE                   
LIEU-DIT   LE COSTET                  
LIEU-DIT   COTE DE GADAY              
LIEU-DIT   COTE DE PONSAC             
LIEU-DIT   LA COURBINE                
LIEU-DIT   COURTIOL                   
LIEU-DIT   CREUX DE L ETANG           
LIEU-DIT   LA CROIX                   
LIEU-DIT   LES CROZES                 
LIEU-DIT   FAU COLOMBE                
LIEU-DIT   FAYABELLE                  
LIEU-DIT   LA FAYE                    
LIEU-DIT   LES FAYSETTES              
LIEU-DIT   FESAY                      
LIEU-DIT   LA FONTASSE                
LIEU-DIT   FORET DE CUZE              
LIEU-DIT   FRETISSE                   
LIEU-DIT   FREYSSENET                 
LIEU-DIT   LE GAZEL                   
LIEU-DIT   LE GAZEL NORD              
LIEU-DIT   GOURIAU                    
LIEU-DIT   LE GOUTAL                  
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LE GRAND DEVES             
LIEU-DIT   GRANGE NEUVE               
LIEU-DIT   LES GRANGES DE SAUSSES     
LIEU-DIT   LES HERMES                 
LIEU-DIT   L HOMOND                   
LIEU-DIT   L HORS NEUIL               
LIEU-DIT   L HUBAC                    
LIEU-DIT   L HUBAC DE FREYSSENET      
LIEU-DIT   L HUBAC DE LABASTIDE       
LIEU-DIT   L HUBAC DE MALLE COMBE     
LIEU-DIT   L HUBAC DE RICHIER         
LIEU-DIT   L INAGRIN                  
LIEU-DIT   LE JARDIN DE CUZE          
LIEU-DIT   LACHAMP DE CUZE            
LIEU-DIT   LAGLAND                    
LIEU-DIT   LES LAVANCHES              
LIEU-DIT   LIONNES                    
LIEU-DIT   LE MAS                     
LIEU-DIT   LES MONGES                 
LIEU-DIT   LE MORTIER                 
LIEU-DIT   LA MOTTE                   
LIEU-DIT   MOUCHEYRES                 
LIEU-DIT   MOULIN DE CHARRIER         
LIEU-DIT   MOULIN DE L HUILE          
LIEU-DIT   LES MOULINS                
LIEU-DIT   LE MOUNAS                  
LIEU-DIT   MOURGUE                    
LIEU-DIT   LE MOUTAS NORD             
LIEU-DIT   LE MOUTAS SUD              
LIEU-DIT   LA NARCE                   
LIEU-DIT   NEYRE NUIT                 
LIEU-DIT   OUTRE                      
LIEU-DIT   LE PAS DU RANC             
LIEU-DIT   LE PASSADOU                
LIEU-DIT   LE PASSADOU NORD           
LIEU-DIT   LES PEYREJADES             
LIEU-DIT   LE PEYRON                  
LIEU-DIT   LES PIALADES               
LIEU-DIT   LA PIECE                   
LIEU-DIT   PIECES DE LA VAYSSE        
LIEU-DIT   LA PLATELLE                
LIEU-DIT   LA PLATTE                  
LIEU-DIT   LE PRADAL                  
LIEU-DIT   LA PRADE                   
LIEU-DIT   LA REINE                   
LIEU-DIT   LA RESERVE                 
LIEU-DIT   LE RIAS                    
LIEU-DIT   LES RIBIEYRES              
LIEU-DIT   RIEU GROS                  
LIEU-DIT   RIOUSSET                   
LIEU-DIT   RIOUSSETOU                 
LIEU-DIT   LA ROULEDE                 
LIEU-DIT   ROUSSET                    
LIEU-DIT   LE SAUT                    
LIEU-DIT   LE SERRE                   
LIEU-DIT   SERRE LIAUTOT              
LIEU-DIT   LE SOULIER                 
LIEU-DIT   LE THERON                  
LIEU-DIT   LA TORTE                   
LIEU-DIT   LE TRACOL ET LA FAYSSE     
LIEU-DIT   LE TRAILE                  
LIEU-DIT   LA TRAINE                  
LIEU-DIT   LES VERNEDES               
LIEU-DIT   LE VERNET                  
LIEU-DIT   LE VIALIN                  
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
CHEMIN     DE L ABRO                  
RUE        DE LA CHAPELLE             
CHEMIN     DE CHASTAGNIER FARDE       
CHEMIN     DU CHATEAU                 
RUE        DE LA COURBINE             
RUE        DE LA CROIX                
PLACE      DE L EGLISE                
CHEMIN     DE LA FONTAINE             
CHEMIN     DE FRETISSE                
PLACE      DU MONUMENT AUX MORTS      
CHEMIN     DE MOUCHEYRES BAS          
CHEMIN     DE MOUCHEYRES HAUT         
CHEMIN     DE LA PLAINE               
CHEMIN     DU SOULIER                 
RUE        DE LA THEOULE              
CHEMIN     DU TRAYLE                  
           commune :     LABASTIDE-DE-VIRAC             departement : ARDECHE                       
LIEU-DIT   L AVENT                    
LIEU-DIT   LA BARAQUE                 
LIEU-DIT   BASSE CROTTE               
LIEU-DIT   LA BLACHE                  
LIEU-DIT   BOIS DE RONZE              
LIEU-DIT   CEREYROL                   
LIEU-DIT   CHAMBON                    
LIEU-DIT   CHAMP DE CERIER            
LIEU-DIT   CHAMP DE LAVAL             
LIEU-DIT   CHAMPARAS                  
LIEU-DIT   LES CHAMPELS               
LIEU-DIT   LES CHARBONNIEUX           
LIEU-DIT   LES CHAUCHIERES            
LIEU-DIT   LES CHAURIERS              
LIEU-DIT   LES CHAURRIERS             
LIEU-DIT   LES CLAUX                  
LIEU-DIT   LES COMBALETS              
LIEU-DIT   COMBE DE REGARD            
LIEU-DIT   CONDAMINE                  
LIEU-DIT   COUGOUSSA                  
LIEU-DIT   LES COUREGES               
LIEU-DIT   LA COUSTARINE              
LIEU-DIT   LES CROTTES                
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LA FONTETTE                
LIEU-DIT   GRAND DEVES                
LIEU-DIT   LE GRAS                    
LIEU-DIT   LA LAUZE                   
LIEU-DIT   LE LAVOUR                  
LIEU-DIT   MAS DE SERRET              
LIEU-DIT   MATTE D ARC                
LIEU-DIT   PETIT DEVES                
LIEU-DIT   PIEREDON                   
LIEU-DIT   PLANT DU SAULE             
LIEU-DIT   PUITS DE RONZE             
LIEU-DIT   LES RABEGES                
LIEU-DIT   LES ROCHERS                
LIEU-DIT   LES ROCHES                 
LIEU-DIT   LE ROURE DE LA CROIX       
LIEU-DIT   LE ROURE DE LA CROIX BAS   
LIEU-DIT   LE ROURE DE LA CROIX HAUT  
LIEU-DIT   LA ROUVEYROLE              
LIEU-DIT   SALEYRON                   
LIEU-DIT   SEGRIERES                  
LIEU-DIT   LE SERRE                   
LIEU-DIT   SIMONET                    
LIEU-DIT   LA SOMPE                   
LIEU-DIT   SOUS LA VIELLE             
LIEU-DIT   SOUS LE GRAS               
LIEU-DIT   VAUSERVIERES               
LIEU-DIT   LA VIGNASSE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VIRAC                      
RUE        DES ARCADES                
CHEMIN     DE L ARDECHE               
CHEMIN     DE BARJAC DIT VELBON       
RUE        DE LA CALLADE              
RUE        CENTRALE                   
PLACE      DU CHATEAU                 
CHEMIN     DES CLOTS                  
CHEMIN     DES COMBALETS              
CHEMIN     DE COUCOUSSA               
CHEMIN     DE LA CROISETTE A VIRAC    
CHEMIN     DES CROTTES                
CHEMIN     DES CROTTES MAS DE SERRET  
RUE        DE L EGLISE                
PLACE      DE LA FONTAINE             
CHEMIN     DE LA GOULE DE FOUSSOUBIE  
PLACE      DE LA MAIRIE               
RUE        DU MALPAS                  
PLACE      DU PRADIER                 
CHEMIN     DES ROCHERS                
PLACE      DE LA SALLE POLYVALENTE    
           commune :     LABATIE-D ANDAURE              departement : ARDECHE                       
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   BELLECOUR                  
LIEU-DIT   LA BLACHE DE LA GRANGEONE  
LIEU-DIT   LES BLACHES DE BEAUREGARD  
LIEU-DIT   LES BLACHES DE LA NAUTE    
LIEU-DIT   BLANCHARD                  
LIEU-DIT   BLASSENAC                  
LIEU-DIT   BOIS DE COMBETTE           
LIEU-DIT   LE BOIS DE LA RIALLE       
LIEU-DIT   LE BOIS DES COMBETTES      
LIEU-DIT   LE BOSC                    
LIEU-DIT   BOURON                     
LIEU-DIT   LA CALADE                  
LIEU-DIT   CHABANNE                   
LIEU-DIT   LES CHAIX                  
LIEU-DIT   CHASTAGNER                 
LIEU-DIT   LE CLAPIER                 
LIEU-DIT   CLAUSE                     
LIEU-DIT   CLAUSIER                   
LIEU-DIT   LE CLOS                    
LIEU-DIT   LE CLOT                    
LIEU-DIT   LES COIGNERS               
LIEU-DIT   LES COMBEAUX               
LIEU-DIT   LES COMBETTES              
LIEU-DIT   LES COTES DE LA NAUTE      
LIEU-DIT   LE CROS DES VIGNES         
LIEU-DIT   LE CROS DU LOUP            
LIEU-DIT   FANGIER                    
LIEU-DIT   LES FREYDIERES             
LIEU-DIT   FREYSSENET                 
LIEU-DIT   LES FUMAS                  
LIEU-DIT   LA GAGEYRE                 
LIEU-DIT   GAMON                      
LIEU-DIT   LE GAUDILLON               
LIEU-DIT   GOURNIER NORD              
LIEU-DIT   GOURNIER SUD               
LIEU-DIT   GOUY                       
LIEU-DIT   LE GRAND CHAUMEL           
LIEU-DIT   LA GRANGE                  
LIEU-DIT   LA GRANGEONE               
LIEU-DIT   L HUBAC DE LA GAGEYRE      
LIEU-DIT   LES HUBACS DE BESSIAS      
LIEU-DIT   LES HUBACS DE BLASSENAC    
LIEU-DIT   LES HUBACS DE RIBES        
LIEU-DIT   ISSARTIAL                  
LIEU-DIT   LARGIALLE                  
LIEU-DIT   MALFRAGNER                 
LIEU-DIT   MATHON                     
LIEU-DIT   MAZABRARD                  
LIEU-DIT   MEA                        
LIEU-DIT   MONTUERGUE                 
LIEU-DIT   LA NAUTE                   
LIEU-DIT   NIZON                      
LIEU-DIT   LE PASTURAL                
LIEU-DIT   PEOULIOUSE                 
LIEU-DIT   LA PEREYRE                 
LIEU-DIT   LE PETIT CHAUMEL           
LIEU-DIT   LA PEYROLLE                
LIEU-DIT   LES PIGNES D ISSARTIAL     
LIEU-DIT   LA PINEE RONDE             
LIEU-DIT   PLOYE                      
LIEU-DIT   POLLETON                   
LIEU-DIT   PRE LONG                   
LIEU-DIT   LES RAMAS                  
LIEU-DIT   LA RASE                    
LIEU-DIT   LA REVISCOLE               
LIEU-DIT   LES RIAILLES               
LIEU-DIT   LA RIALLE                  
LIEU-DIT   ROCHEDIEU                  
LIEU-DIT   ROSSIGNOL                  
LIEU-DIT   LE ROULE                   
LIEU-DIT   ROUSSON                    
LIEU-DIT   LE SAUZE                   
LIEU-DIT   LES SEIGNOVERS             
LIEU-DIT   LE SERRE                   
LIEU-DIT   LE SERRE DE BESSIAS        
LIEU-DIT   LE SERRE DE BLANCHARD      
LIEU-DIT   LE SERRE DE VIALETTE       
LIEU-DIT   LA SIMONDE                 
LIEU-DIT   LES VENTS                  
LIEU-DIT   VIALETTE                   
LIEU-DIT   LE VIGNAL EST              
LIEU-DIT   LE VIGNAL OUEST            
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE CHOMEL                  
LIEU-DIT   VALLON                     
LIEU-DIT   PONT DU DOUZET             
CHEMIN     DE BALLARON                
CHEMIN     BEAUD                      
CHEMIN     DE BLANCHARD               
CHEMIN     DE BLASSENAC               
CHEMIN     DE BOSC                    
PLACE      CHASTAGNER                 
RUE        DU CIMETIERE               
CHEMIN     CHABANNE                   
CHEMIN     LE GRAND CHAUMEL           
CHEMIN     DU CHASTAGNER              
CHEMIN     LE PETIT CHAUMEL           
CHEMIN     DE CLAUZE                  
IMPASSE    DU CHATEAU                 
CHEMIN     DES COIGNERS               
CHEMIN     D'ISSARTIAL AUX COMBETTES  
PLACE      DE LA CROIX                
CHEMIN     DE DESSERT BAS D'ISSARTIAL 
RUE        DU DOUX                    
RUE        DE L'EGLISE                
PLACE      DE L'EGLISE                
PLACE      LES FREYDIERES             
CHEMIN     DE FREYSSENET              
CHEMIN     DE GAGEYRE                 
CHEMIN     DE GAGEYRE A CHASTAGNER    
CHEMIN     DE GAMON                   
CHEMIN     DE LA GRANGEONNE           
CHEMIN     DE LIAISON ISSARTIAL       
CHEMIN     TOUR ISSARTIAL             
CHEMIN     D'ISSARTIAL                
CHEMIN     DE JAPPENARD               
CHEMIN     DE JAPPENARD BIS           
CHEMIN     DE ST JEURE                
CHEMIN     DE LABATIE A SAINT-AGREVE  
CHEMIN     DE MALFRAGNER              
CHEMIN     DE PONT MALFRAGNER         
CHEMIN     IMPASSE MALFRAGNER         
CHEMIN     DE MEA                     
CHEMIN     MARTOULET                  
CHEMIN     MONDE                      
CHEMIN     DE LA NAUTE                
IMPASSE    DES NOYERS                 
CHEMIN     BOUYER                     
CHEMIN     DE CLUTEY                  
CHEMIN     POMMIER                    
CHEMIN     POULNARD                   
CHEMIN     LES RAILLETTES             
CHEMIN     DE LA RAILLE               
CHEMIN     DE LA RASE                 
CHEMIN     DE ROCHEDIEU               
CHEMIN     DE LA ROCHE                
CHEMIN     LE ROULE                   
RUE        CHEMIN DE RONDE            
CHEMIN     DE SAUZE                   
CHEMIN     LES SEIGNOVERS             
CHEMIN     DE LA SIMONDE              
CHEMIN     LE VENT                    
CHEMIN     VIALETTE                   
CHEMIN     LES VIGNES                 
CHEMIN     LOTISSEMENT LES VIGNES     
CHEMIN     VIGNAL                     
CHEMIN     DE JAPPERENARD             
CHEMIN     DE LA GRANGE               
CHEMIN     DE LA PEREYRE              
CHEMIN     DE LA RIAILLE              
CHEMIN     DE MAZABRARD               
CHEMIN     DE VEROT                   
CHEMIN     DES COMBETTES              
CHEMIN     LES RIAILLETTES            
IMPASSE    DE L EGLISE                
PLACE      D ISSARTIAL                
RUE        DES NOYERS                 
ROUTE      ROUTE DEPARTEMENTALE 228   
           commune :     LABEAUME                       departement : ARDECHE                       
LIEU-DIT   L ABEILLE                  
LIEU-DIT   LES AYGUIERES              
LIEU-DIT   LE BAOU                    
LIEU-DIT   LES BARAYES                
LIEU-DIT   BARBE                      
LIEU-DIT   LA BIGOURNETTE             
LIEU-DIT   BOIS SAINT MARTIN          
LIEU-DIT   BOUDON                     
LIEU-DIT   BOULLET                    
LIEU-DIT   LA BUISSIERE               
LIEU-DIT   CHAMONTIN                  
LIEU-DIT   CHAMP RENARD               
LIEU-DIT   CHAMPLANTIER               
LIEU-DIT   LE CHAP LONG               
LIEU-DIT   CHAPIAS                    
LIEU-DIT   CHAPIAS EST                
LIEU-DIT   CHARASSOU                  
LIEU-DIT   CHAZALIS                   
LIEU-DIT   LE CLOS DE BURNOU          
LIEU-DIT   LES COMBES                 
LIEU-DIT   LE DEVES                   
LIEU-DIT   L ECHELETTE                
LIEU-DIT   FAVEIROLLE                 
LIEU-DIT   LES FAYSSES                
LIEU-DIT   FLOJAS                     
LIEU-DIT   GABIANE                    
LIEU-DIT   GADRET                     
LIEU-DIT   LA GRANGEASSE              
LIEU-DIT   LES GRAS                   
LIEU-DIT   L ISSART                   
LIEU-DIT   LA JARJATTE                
LIEU-DIT   JARJATTE                   
LIEU-DIT   JAUSSAINT                  
LIEU-DIT   LABEAUME                   
LIEU-DIT   LAURENCON                  
LIEU-DIT   LA LAUZE                   
LIEU-DIT   LAUZIERES                  
LIEU-DIT   LINSOLAS                   
LIEU-DIT   LA LOUBATIERE              
LIEU-DIT   LE MALPAS                  
LIEU-DIT   PEYREFIT                   
LIEU-DIT   PEYROCHE                   
LIEU-DIT   LE PIEMONTAIS              
LIEU-DIT   LA PLAINE                  
LIEU-DIT   POS FABRE                  
LIEU-DIT   POUCHOLLE                  
LIEU-DIT   PUECH                      
LIEU-DIT   LE RANC DE BISE            
LIEU-DIT   LE RANC DE FIGERE          
LIEU-DIT   RANC DE VIDAL              
LIEU-DIT   SAINT GENEST               
LIEU-DIT   LE SAUVAGE                 
LIEU-DIT   SERRE                      
LIEU-DIT   SERRE DE CHOULET           
LIEU-DIT   LE SERRE DE GRAILLE        
LIEU-DIT   LE SERRE DE LOGERE         
LIEU-DIT   LA THEOULE                 
LIEU-DIT   LES TOURETTES              
LIEU-DIT   LE TRILLE                  
LIEU-DIT   LA TUNE                    
LIEU-DIT   VALLA                      
LIEU-DIT   VIGNE VIEILLE              
LIEU-DIT   LE VILLAGE                 
CHEMIN     DE L'ABEILLE               
RUE        DE L ANCIENNE MAIRIE       
RUELLE     ARTEMON                    
RUE        DE L ANCIENNE FORGE        
CHEMIN     DE L'AYGUIERES             
CHEMIN     DE BARLE                   
CHEMIN     DE BASSET                  
RUELLE     DE LA BESSOUNE             
CHEMIN     DE CHAMP RENARD A JOYEUSE  
RUE        DE LA CALADE               
RUE        DE LA CALADE DU RIEU       
CHEMIN     DE CHAMPLAUTIER            
CHEMIN     DE CHAPIAS                 
RUE        CHAREYRASSE                
CHEMIN     DE CHAZALIS                
PLACE      DU CIMETIERE               
PLACE      DE L ECOLE PUBLIQUE        
RUE        DRAILLE DES ECOLIERS       
PLACE      DE L EGLISE                
RUE        DE L'EGLISE                
RUE        FERNAND CHAMONTIN          
CHEMIN     DE LA GRAILLE              
RUE        DE LA GROTTE AUX CHEVRES   
PLACE      DU JUMELAGE                
CHEMIN     DE LABEAUME A AURIOLLES    
CHEMIN     DE LAURENCON               
CHEMIN     DES LAUZES                 
CHEMIN     DES LAUZIERES              
CHEMIN     DE LINSOLAS                
CHEMIN     DE LA MARE AUX ANGES       
PLACE      NOUVELLE                   
CHEMIN     DE PEYREFIT                
CHEMIN     DE PEYROCHE                
CHEMIN     PEYROCHE ET L AERODROME    
CHEMIN     DE LA PLAINE               
CHEMIN     DE POUCHELLE               
CHEMIN     DE POUCHOLLE               
PLACE      PUBLIQUE                   
CHEMIN     DU PUECH                   
CHEMIN     DE ST GENEST               
PLACE      DU SABLAS                  
CHEMIN     DE SAINT MARTIN            
CHEMIN     DE LA THEOULE              
RUELLE     DU TONNELIER               
CHEMIN     DE VALLA                   
RUELLE     DU VENTE                   
PLACE      DU VIEUX PRESBYTERE        
RUELLE     VOUTEE                     
           commune :     LABEGUDE                       departement : ARDECHE                       
LIEU-DIT   AYRES CHAUDES              
LIEU-DIT   BASSE BEGUDE               
LIEU-DIT   BAUZENE                    
LIEU-DIT   BEL AIR                    
LIEU-DIT   BOIS DE PEYRE              
LIEU-DIT   BOIS DE ROUVEYRE           
LIEU-DIT   LE BRUK                    
LIEU-DIT   CHADOU                     
LIEU-DIT   CHALANCON                  
LIEU-DIT   CHARBONNIER                
LIEU-DIT   LE CLAPAS                  
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA COTE                    
LIEU-DIT   LA COTE DU PUEY            
LIEU-DIT   COTE NOIRE                 
LIEU-DIT   LE CROZE                   
LIEU-DIT   LA CROZE                   
LIEU-DIT   LE FOURNAS                 
LIEU-DIT   LES GIBAUX                 
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LE GUE D ARLIX             
LIEU-DIT   LABLACHERE                 
LIEU-DIT   LAUTARET                   
LIEU-DIT   LE LEOUSEYRE               
LIEU-DIT   LISSAS                     
LIEU-DIT   LE MALPAS                  
LIEU-DIT   LE MAZEL                   
LIEU-DIT   NOUZAREDE                  
LIEU-DIT   LE PLANAS                  
LIEU-DIT   PONT DE LAUTARET           
LIEU-DIT   LES PRADAUX                
LIEU-DIT   PUEYCHANT                  
LIEU-DIT   QUARTIER DE LA GARE        
LIEU-DIT   QUARTIER DE LA MAIRIE      
LIEU-DIT   QUARTIER DE LA VERRERIE    
LIEU-DIT   QUARTIER DU PONT           
LIEU-DIT   RANC CHABRIER              
LIEU-DIT   RIOU LAVAL                 
LIEU-DIT   LE RIPEL                   
LIEU-DIT   SALINDRE                   
LIEU-DIT   LE SERRE                   
LIEU-DIT   SOULELIANT                 
LIEU-DIT   LE SOULEYROL               
LIEU-DIT   LE VILLAGE                 
CHEMIN     DU BAS MAZEL               
RUE        DE LA BASSE BEGUDE         
CHEMIN     DE LA BEALIERE             
CHEMIN     DE LA BLACHERE             
CHEMIN     DU CIMETIERE               
CHEMIN     DE L EGLISE                
RUE        DU HLM                     
CHEMIN     DE LAURENT                 
PLACE      DE LA MAIRIE               
CHEMIN     DU MAZEL                   
ROUTE      NATIONALE                  
RUE        DE LA PLACE                
CHEMIN     DU REY                     
CHEMIN     DU RIPEL                   
RUE        ST REGIS ET RUE ARGOUT     
CHEMIN     DU STADE                   
RUE        DE LA VERRERIE             
RUE        DE L INDUSTRIE             
RUE        JULES FERRY                
RUE        PAUL FAYETTE               
RUE        MAURICE CHAZE              
PLACE      DU PRADOU                  
RUE        DE LA LIBERTE              
RUE        JEAN MOULIN                
ALLEE      DES JARDINS                
RUE        DU 19 MARS 1962            
ALLEE      DES CYPRES                 
IMPASSE    ACHILLE MARTIN             
RUE        SAINT FRANCOIS REGIS       
RUE        MARIUS ET EDGARD ARGOUT    
RUE        DU 11 NOVEMBRE 1918        
RUE        PAUL SABATON               
RUE        LOUIS TOURRETTE            
RUE        DU 8 MAI 1945              
IMPASSE    DU RUISSEAU                
ROUTE      DE MERCUER                 
RUE        LOUIS MARTIN               
RUE        CHARLES MOINE              
PLACE      DES ECOLES                 
RUE        JULES FERRY                
RUE        PAUL FAYETTE               
           commune :     LABLACHERE                     departement : ARDECHE                       
RESIDENCE  LES PERVENCHES             
LIEU-DIT   AUZON                      
LIEU-DIT   LES BARELLES               
LIEU-DIT   BARRICAUDE                 
LIEU-DIT   BASSAULT                   
LIEU-DIT   LA BASTIDE                 
LIEU-DIT   BAUDON                     
LIEU-DIT   BEAUZON                    
LIEU-DIT   BEAUZON DE BIEUZET         
LIEU-DIT   BEAUZON DE CEDAT           
LIEU-DIT   BEAUZON DE MODENE          
LIEU-DIT   BEAUZON DE PAYZAC          
LIEU-DIT   BEAUZON DE SAINT GENEST    
LIEU-DIT   BEAUZON DU COLOMBIER       
LIEU-DIT   BEAUZONNET                 
LIEU-DIT   BERIASSON                  
LIEU-DIT   BIEUZET                    
LIEU-DIT   LES BLACHES                
LIEU-DIT   BLANCHON                   
LIEU-DIT   LE BOIS DE COMBE           
LIEU-DIT   LE BOIS DE LA SAUMES       
LIEU-DIT   BOISSIN                    
LIEU-DIT   LE BOSC                    
LIEU-DIT   BOUCHARD                   
LIEU-DIT   BOUDEYRON                  
LIEU-DIT   LE BOUIX                   
LIEU-DIT   BOURDEZAC                  
LIEU-DIT   LA BOURNACHE               
LIEU-DIT   BOURNASSON                 
LIEU-DIT   LA BRISE                   
LIEU-DIT   LE BRUJAS                  
LIEU-DIT   CALARASSE                  
LIEU-DIT   LE CANARD                  
LIEU-DIT   LE CARDINAL                
LIEU-DIT   CASTANET                   
LIEU-DIT   LE CASTELLET               
LIEU-DIT   LE CAUDE                   
LIEU-DIT   CEDAT NORD                 
LIEU-DIT   CEDAT SUD                  
LIEU-DIT   CHABROLIERE                
LIEU-DIT   CHALANCON                  
LIEU-DIT   CHALENCON                  
LIEU-DIT   CHAMAS                     
LIEU-DIT   CHAMBRE                    
LIEU-DIT   CHAMP CLOS                 
LIEU-DIT   LE CHAMP DE BAYLE          
LIEU-DIT   CHAMP DE LA BEAUME         
LIEU-DIT   LE CHAMP DE LA GRANGE      
LIEU-DIT   LE CHAMP DE MAS            
LIEU-DIT   LE CHAMP DU CAMPANIER      
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   CHANTEPERDRIX              
LIEU-DIT   CHARAVEL                   
LIEU-DIT   LA CHARBONNIERE            
LIEU-DIT   CHASTAGNERIE               
LIEU-DIT   LES CHATAIGNIERS           
LIEU-DIT   CHEME                      
LIEU-DIT   LE CHEMIN FERRAT           
LIEU-DIT   CHEMINON                   
LIEU-DIT   CHENEVIERE                 
LIEU-DIT   CHENEVIERE DU CARDINAL     
LIEU-DIT   CHIMARRE                   
LIEU-DIT   LE CLAUSET                 
LIEU-DIT   LA CLOCHE                  
LIEU-DIT   CLOS FAUCON                
LIEU-DIT   CLOS FONTGRAZE             
LIEU-DIT   LE CLOTET                  
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LA COMBALASSE              
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE D AMADY              
LIEU-DIT   LA COMBE DE DROME          
LIEU-DIT   LA COMBE DE VERNEDON       
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA COSTASSE                
LIEU-DIT   LA COSTE                   
LIEU-DIT   LES COTES                  
LIEU-DIT   CREVAILLE                  
LIEU-DIT   LA CROISETTE               
LIEU-DIT   LA CROISETTE ET PLAN DU FO 
LIEU-DIT   LA CROIX DU PEAGE          
LIEU-DIT   LES CROZES                 
LIEU-DIT   DARBOUSSY                  
LIEU-DIT   DARBOUX                    
LIEU-DIT   LA DAUPHINE                
LIEU-DIT   DENIZE                     
LIEU-DIT   DROME                      
LIEU-DIT   L EGLISE                   
LIEU-DIT   L ESCLOTE                  
LIEU-DIT   LES ESPRATS                
LIEU-DIT   L ESTRADE                  
LIEU-DIT   LES EYMARES                
LIEU-DIT   LES EYMOLIERES             
LIEU-DIT   LE FABRE                   
LIEU-DIT   LE FADAS                   
LIEU-DIT   LES FAYSSES                
LIEU-DIT   FIGEOU                     
LIEU-DIT   LES FIGERETTES             
LIEU-DIT   FLANDRIN                   
LIEU-DIT   LES FLOTS                  
LIEU-DIT   FONT MERDOUX               
LIEU-DIT   LES FONTETTES              
LIEU-DIT   FONTGRAZE                  
LIEU-DIT   FONTMERDOUZE               
LIEU-DIT   FOURNAIRE                  
LIEU-DIT   GACHON                     
LIEU-DIT   LA GAOUDE                  
LIEU-DIT   GAZEL                      
LIEU-DIT   GEVAUDO                    
LIEU-DIT   LE GIELLY                  
LIEU-DIT   GONDIVE                    
LIEU-DIT   GOURGUEYROL                
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LA GRANDE VIGNE            
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LA GRANGE DE MARCY         
LIEU-DIT   GRANGEASSE                 
