20151101
94         VAL DE MARNE                  
RUE        ANATOLE FRANCE             
RUE        ANTOINE FERACCI            
CITE       ANATOLE FRANCE             
ALLEE      DES ANEMONES               
RUE        D ANGERS                   
ALLEE      DES ARUMS                  
AVENUE     D AUVERGNE                 
RUE        DE L ARRIVEE               
RUE        DE L AUBRAC MIN            
PLACE      D AQUITAINE MIN            
RUE        D AVIGNON                  
AVENUE     ARMAND PETITJEAN           
RUE        ARTHUR RIMBAUD             
           RES BARBANSON              
RUE        DU BEARN                   
RUE        DE LA BERGERE              
RUE        DU BERRY                   
RUE        DE BICETRE                 
RUE        BIR HAKEIM                 
RUE        DES BLEUETS                
AVENUE     DE BOURGOGNE               
RUE        DE LA BRESSE MIN           
AVENUE     DE BRETAGNE                
RUE        DE BRETAGNE                
RUE        BRANLY                     
RUE        DU CADUCEE                 
ALLEE      DES CAMELIAS               
RUE        DE CARPENTRAS              
RUE        CASTELNAU                  
RUE        DE CHAMBOURCY              
RUE        DE CAVAILLON               
PLACE      CHATEAU DES ALOUETTES      
RUE        DE CHATEAURENARD           
           CENTRE CIAL CROIX DU SUD   
BOULEVARD  CIRCULAIRE MIN             
BOULEVARD  DE CHEVILLY LARUE          
RUE        DES CLOSEAUX               
AVENUE     DE LA CITE                 
ALLEE      CLEMENT ADER               
PLACE      DU COMMERCE                
CHEMIN     DE CHEVILLY A FRESNES      
CHEMIN     DE CHEVILLY A RUNGIS       
CHEMIN     DE CHEVILLY A WISSOUS      
RUE        DE LA CORDERIE             
ALLEE      DU CORNOUILLER             
ALLEE      DE LA COSSONNERIE          
ALLEE      COSTES ET BELLONTE         
AVENUE     DE LA COTE D AZUR          
AVENUE     DE LA COTE D'IVOIRE        
CRS        DU COTTAGE                 
RUE        DU COTTAGE TOLBIAC         
ALLEE      DE LA COUTELLERIE          
RUE        DU CLOS SAINT MICHEL       
AVENUE     DE LA CROIX DU SUD         
           RES LA CROIX DU SUD        
RUE        DES DECHARGEURS MIN        
BOULEVARD  DU DELTA                   
RUE        DE L ADJT CHEF DERICBOURG  
ALLEE      DIDIER DAURAT              
REMPART    DU 19 MARS 1962            
RUE        DU DOCTEUR TENINE          
ALLEE      DES ECHOPPES               
RUE        DES ECOLES                 
RUE        EDITH PIAF                 
RUE        EDISON                     
RUE        EDOUARD BRANLY             
IMPASSE    EDOUARD VAILLANT           
PLACE      DE L EGLISE                
IMPASSE    EINSTEIN                   
RUE        ELISEE RECLUS              
RUE        EMILE ZOLA                 
RUE        ERNEST FLAMMARION          
RUE        ETIENNE DOLET              
ALLEE      FARMAN                     
RUE        FERNAND DUPUY              
AVENUE     DE FLANDRE                 
RUE        FOCH                       
ALLEE      DE FRANCHE COMTE           
RUE        FRANCOIS SAUTET            
AVENUE     FRANKLIN ROOSEVELT         
RUE        DE FRESNES                 
AVENUE     DU GEN DE GAULLE           
RUE        DU GENERAL LECLERC         
RUE        GEORGE SAND                
RUE        GEORGES BRASSENS           
AVENUE     GEORGES GUYNEMER           
RUE        GEORGES MARGUERITEAU       
PASSAGE    DU GRAND COMPTOIR MIN      
RUE        GUILLAUMET                 
ALLEE      DES GLAIEULS               
RUE        DES GLYCINES               
RUE        DU HAVRE                   
RUE        HELENE BOUCHER             
RUE        HENRI DUNANT               
RUE        HENRI CRETTE               
ALLEE      DES HORTICULTEURS          
RUE        DU 8 MAI 1945              
QUAI       DE L ILE DE FRANCE         
ALLEE      DES IRIS                   
AVENUE     JACQUES BREL               
RUE        JACQUES HELLOUIN           
RUE        DES JARDINS                
RUE        JAUME                      
ALLEE      JEAN BOUIN                 
RUE        JEAN FERRAT                
IMPASSE    JEAN JAURES                
BOULEVARD  JEAN MERMOZ                
ALLEE      JEAN MERMOZ                
RUE        DU JOUR MIN                
RUE        JULES BOHY                 
RUE        JULES VERNE                
ALLEE      DU JURA                    
CITE       LAGUINET                   
RUE        DU LANGUEDOC MIN           
RUE        LATERALE 7                 
PLACE      DE LATTRE DE TASSIGNY      
PLACE      DE LA LIBERATION           
RUE        DU LIEUTENANT ALAIN LE COZ 
ALLEE      LOUISE MICHEL              
           RESIDENCE DES LILAS        
RUE        RES DES LILAS              
ALLEE      DES LILAS                  
RUE        DE LA LINGERIE             
RUE        DE LILLE                   
AVENUE     DE LORRAINE                
RUE        LOUIS BLERIOT              
CRS        DE MARSEILLE               
AVENUE     DU LYONNAIS                
AVENUE     DES MARAICHERS             
ALLEE      DES MIMOSAS                
RUE        DE LYON                    
RUE        DE MONTAUBAN               
RUE        DE MONTHLERY               
RUE        DE MONTPELLIER             
RUE        DES MEUNIERS               
RUE        DE MONTESSON               
RUE        DE NANTES                  
ALLEE      MARYSE BASTIE              
ALLEE      MARYSE HILSZ               
RUE        DE NICE                    
RUE        MARCEL JOLIVET             
PROMENADE  MAURICE CHEVALIER          
ALLEE      DES MAGNOLIAS              
PLACE      NELSON MANDELA             
RUE        DU NIVERNAIS               
AVENUE     DE NORMANDIE               
AVENUE     DE NORMANDIE               
ALLEE      NUNGESSER ET COLI          
ALLEE      DES OEILLETS               
AVENUE     DU 11 NOVEMBRE 1918        
ALLEE      DES ORCHIDEES              
AVENUE     DE L'ORLEANAIS             
RUE        DE L OSERAIE               
RUE        OUTREQUIN                  
RUE        PABLO PICASSO              
AVENUE     DU PARC                    
PLACE      DE PARIS                   
RUE        PARMENTIER                 
RUE        PASTEUR                    
RUE        PAUL HOCHART               
RUE        PAUL HOCHARD MIN           
RUE        PAUL LANGEVIN              
AVENUE     DES PEPINIERES             
RUE        DES PENSEES                
SQUARE     DE LA PEPINIERE            
RUE        DU PERE MAZURIE            
RUE        DE PERPIGNAN               
RUE        DU LIEUTENANT PETIT LEROY  
RUE        DE PICARDIE                
RUE        PIERRE BROSSOLETTE         
RUE        PIERRE CURIE               
RUE        DU PONT DES HALLES         
RUE        DE LA POMPE                
RUE        DU POITOU                  
PLACE      DE LA POSTE                
ALLEE      DU PRESIDENT KENNEDY       
ALLEE      DE LA POTERIE              
RUE        DES PROUVAIRES MIN         
RUE        DE PROVENCE                
AVENUE     DE LA REPUBLIQUE           
ALLEE      ROLAND GARROS              
REMPART    DES ROSES                  
ALLEE      DES ROSES                  
RUE        DU ROUERGUE                
RUE        ROUGET DE LISLE            
SQUARE     ROUSSILLON                 
RUE        DU ROUSSILLON              
RUE        DES ROUTIERS               
VOIE       DE RUNGIS                  
RUE        DE RUNGIS                  
RUE        DU STADE                   
RUE        SAINT EUSTACHE             
PLACE      SAINT HUBERT MIN           
IMPASSE    SAINTE COLOMBE             
RUE        SECLIN                     
RUE        DU  SAUT DU LOUP           
RUE        DU SEMINAIRE               
IMPASSE    DU SOLEIL                  
CITE       DES SORBIERS               
RUE        DES SORBIERS               
PLACE      DU SOUVENIR                
AVENUE     DE STALINGRAD              
RUE        DE LA STATION              
RUE        SAINT EXUPERY              
RUE        DE SAINT POL DE LEON       
RUE        DE THIAIS                  
RUE        DE TOULOUSE                
RUE        DE LA TOUR                 
AVENUE     DES TROIS MARCHES          
RUE        DE VERDUN                  
ALLEE      DES TULIPES                
QUAI       DU VAL DE LOIRE            
RUE        DE VITRY                   
REMPART    DU VAL DE MARNE            
RUE        DU VAL D YVETTE            
RUE        DE LA VANNE                
AVENUE     DU VIADUC                  
AVENUE     DE LA VILLETTE             
ALLEE      DES VIOLETTES              
VOIE       DE WISSOUS                 
PLACE      YANN MENGUY                
RUE        YVONNE                     
           commune :     CHOISY LE ROI                  departement : VAL DE MARNE                  
LIEU-DIT   ARRET DE VILLENEUVE PRAIRI 
LIEU-DIT   LA CUVE                    
LIEU-DIT   GARE DE CHOISY LE ROI      
LIEU-DIT   PORT DE CHOISY             
PONT       DE CHOISY                  
           LA SEINE                   
AUTOROUTE  A 86                       
LIGN       C RER                      
RUE        ABBE POUCHARD              
ALLEE      DES ABEILLES               
ESPLANADE  DES ACCORDS DE PARIS       
RUE        ADOLPHE SANNIER            
MAIL       ALBERT JACQUARD            
RUE        ALBERT 1ER                 
PASSAGE    DE L ALBINE                
AVENUE     D ALFORTVILLE              
RUE        ALFRED LEBIDON             
BOULEVARD  DES ALLIES                 
GALLERIE   DES ALLIES                 
PLACE      DES ALLIES                 
RUE        ALOUETTES                  
RUE        ALPHONSE BRAULT            
RUE        DES ANCIENNES CRISTALLERIE 
RUE        ALSACE LORRAINE            
AVENUE     ANATOLE FRANCE             
SQUARE     ANATOLE FRANCE             
RUE        ANDRE CHENIER              
ALLEE      DES ARDENNES               
ALLEE      ARISTIDE BRIAND            
RUE        ARISTIDE BRIAND            
RUE        ARMAND NOBLET              
RUE        AUGUSTE BLANQUI            
RUE        AUGUSTE FRANCHOT           
SQUARE     AUGUSTE FRANCHOT           
RUE        BABEUF                     
RUE        BASCOUT                    
RUE        DE LA BATELLERIE           
RUE        BAURET                     
RUE        DU BEARN                   
VILLA      BEETHOVEN                  
RUE        BEL AIR                    
VILLA      BERLIOZ                    
RUE        BERNARD PALISSY            
PASSAGE    BERTRAND                   
PASS       BLANQUI                    
RUE        DES BLEUETS                
CHEMIN     DES BOEUFS                 
RUE        BOULENGER DELBARRE         
PLACE      DE BOURGOGNE               
ALLEE      DE BRETAGNE                
RUE        BRONGNIART                 
RUE        CAMILLE COROT              
PLACE      CAMILLE COROT              
RUE        CAMILLE DESMOULINS         
TOUR       CARNOT                     
MAIL       CARNOT                     
PLACE      CARNOT                     
RUE        CARNOT                     
ALLEE      CAVELIER DE LA SALLE       
           CENTRE CIAL CHOISY SUD II  
AVENUE     DES CHALETS                
ALLEE      DE CHAMPAGNE               
ALLEE      CHAMPLAIN                  
RUE        CHARLES                    
AVENUE     CHARLES J VAILLANT         
RUE        DE LA CHASSE               
RUE        CHEMIN DE FER              
RUE        CHEVREUL                   
PASSAGE    CHEVREUL                   
QUAI       DE CHOISY                  
RUE        CHRISTOPHE COLOMB          
RUE        COLETTE                    
QUAI       DE CONGIS                  
PLACE      DU CONSERVATOIRE DES ARTS  
RUE        CONSTANT COQUELIN          
PLACE      COROT                      
RUE        DES COSMONAUTES            
RUE        PIERRE CURIE               
VILLA      DES CYPRINS                
AVENUE     DANVILLE                   
SQUARE     DANTON                     
RUE        DE LA DARSE                
RUE        DARTHE                     
RUE        DAUMIER                    
RUE        DEFFORGE                   
RUE        DEMANIEUX                  
RUE        DEVILLE BERTEREAU          
RUE        DEVILLIERS                 
SQUARE     DU 19 MARS 1962            
RUE        DOCTEUR AUBLE              
RUE        DOCTEUR CALMETTE           
AVENUE     DOCTEUR CHARCOT            
RUE        DOCTEUR ROUX               
PASSAGE    DONG DA                    
ALLEE      DUMONT D URVILLE           
RUE        DUPUY CROUZET              
RUE        EDOUARD BRANLY             
RUE        DE L EGLISE                
PLACE      EGLISE                     
TOUR       DE L EGLISE                
VILLA      ELYSEE RECLUS              
RUE        EMILE ZOLA                 
RUE        DE L EPARGNE               
VOIE       DE L EPINETTE              
RUE        DE L EST                   
RUE        ETIENNE DOLET              
RUE        ETIENNE DOLET PROLONGEE    
CHEMIN     D EXPLOITATION             
RUE        FAULER                     
RUE        FAULER PROLONGEE           
QUAI       FERNAND DUPUY              
RUE        FERNAND PELLOUTIER         
ALLEE      FERNAND PELLOUTIER         
ALLEE      DES FLANDRES               
VILLA      FLAUBERT                   
AVENUE     DE LA FOLIE                
PLACE      DE LA FONTAINE LOUIS BORE  
RUE        DU FOUR                    
VILLA      FOURIER                    
RUE        FREDERIC JOLIOT CURIE      
RUE        FRERES RECLUS              
RUE        FUSILLES                   
ALLEE      ANGE JACQUES GABRIEL       
PLACE      GABRIEL PERI               
AVENUE     GAMBETTA                   
           LA GARE                    
COUR       DE LA GARE                 
ALLEE      DE GASCOGNE                
AVENUE     GENERAL LECLERC            
RUE        GEORGES BRASSENS           
MAIL       GEORGES CLEMENCEAU         
RUE        GEORGES CLEMENCEAU         
RUE        GEORGE SAND                
QUAI       GONDOLES                   
RUE        GUTENBERG                  
PLACE      GUSTAVE COURBET            
PASSAGE    GUIMAS                     
RUE        GUSTAVE COURBET            
RUE        GUY MOQUET                 
AVENUE     GUYNEMER                   
PLACE      DE LA HALLE                
RUE        DE LA HALLE                
RUE        HELENE                     
PLACE      D'HENNIGSDORF              
AVENUE     HENRI CORVOL               
RUE        HENRI BARBUSSE             
RUE        HENRI JARDIN               
SQUARE     HENRI SELLIER              
RUE        HONORE DAUMIER             
PLACE      HONORE DAUMIER             
AVENUE     DU HUIT MAI 1945           
PLACE      DE L'ILE DE FRANCE         
RUE        L'INSURRECTION PARISIENNE  
PARC       INTERDEPARTEMEN DES SPORTS 
ALLEE      DES IRIS                   
ALLEE      JACQUES CARTIER            
RUE        JEAN BAPTISTE CLEMENT      
RUE        JEAN BAUDIN                
AVENUE     JEAN BOUIN                 
RUE        JEAN JAURES                
AVENUE     JEAN JAURES                
GALLERIE   JEAN JAURES                
TOUR       JEAN JAURES                
RUE        JEAN MOULIN                
RUE        JULES FERRY                
RUE        JULES VALLES               
RUE        LABBE                      
RUE        LAMARCK                    
RUE        LAMARTINE                  
ALLEE      DU LANGUEDOC               
RUE        LAVOISIER                  
RUE        LEDRU ROLLIN               
RUE        LEO FERRE                  
RUE        LEON BLUM                  
AVENUE     LEON GOURDAULT             
RUE        LEPESCHEUX                 
RUE        LIBERTE                    
RUE        DU LT COLONEL CURIE        
ALLEE      DES LILAS                  
ALLEE      DU LIMOUSIN                
RUE        LISERONS                   
AVENUE     LOUIS LUC                  
RUE        LOUISE BOURGEOIS           
RUE        LOUISE MICHEL              
RUE        LUCIE                      
AVENUE     DE LUGO                    
RUE        MADELEINE                  
ALLEE      MAGELLAN                   
RUE        MARC SANGNIER              
ALLEE      MARCEL CACHIN              
AVENUE     MARCEL DAVID               
RUE        MARCELLIN BERTHELOT        
RUE        MARCO POLO                 
AVENUE     MAL DE LATTRE DE TASSIGNY  
PLACE      MARECHAL FOCH              
AVENUE     MARGUERITES                
RUE        MARIE ROND                 
AVENUE     MARRONNIERS                
RUE        MARYSE BASTIE              
RUE        MEDERIC                    
RUE        MEHY                       
ALLEE      DES MESANGES               
RUE        MICHELET                   
RUE        MIRABEAU                   
SQUARE     MORILLON                   
AVENUE     MORILLON                   
AVENUE     NEWBURN                    
RUE        NOEL                       
RUE        DU NORD                    
ALLEE      DE NORMANDIE               
ESPLANADE  OLYMPE DE GOUGES           
RUE        ORMEAUX                    
AVENUE     PABLO PICASSO              
RUE        DE LA PAIX                 
TOUR       DU PARC                    
RUE        DES PAQUERETTES            
RUE        PARMENTIER                 
RUE        PASSEREAU                  
RUE        PASTEUR                    
RUE        PAUL CARLE                 
RUE        PAUL CARLE PROLONGE        
PLACE      PAUL ELUARD                
RUE        PECHON                     
VILLA      DES PEUPLIERS              
ALLEE      DE PICARDIE                
VILLA      PICHON                     
ALLEE      PICHON DES PRES            
PLACE      PIERRE BROSSOLETTE         
RUE        PIERRE MENDES FRANCE       
PLACE      PIERRE SEMARD              
RUE        DES PLATANES               
ALLEE      DU POITOU                  
QUAI       POMPADOUR                  
RUE        POMPADOUR                  
QUAI       DU PORT DE CHOISY          
RUE        DE LA POSTE                
AVENUE     DU PDT ROOSEVELT           
ALLEE      DE PROVENCE                
VILLA      DU PRUD'HOMME MARINIER     
ALLEE      DES PYRENEES               
RUE        RASPAIL                    
AVENUE     RAYMOND POINCARE           
RUE        DE LA REMISE AUX FAISANS   
SQUARE     RENE CHOUTEAU              
AVENUE     RENE PANHARD               
AVENUE     DE LA REPUBLIQUE           
RUE        ROBERT DOISNEAU            
RUE        ROBERT PEARY               
RUE        ROLLIN REGNIER             
AVENUE     RONDU                      
IMPASSE    RONDU                      
AVENUE     ROSA LUXEMBOURG            
VOIE       DES ROSES                  
IMPASSE    DE LA VOIE DES ROSES       
ALLEE      DU ROUERGUE                
RUE        ROUGET DE L ISLE           
GALLERIE   ROUGET DE L ISLE           
TOUR       ROUGET DE LISLE            
SQUARE     SAINT LOUIS                
SQUARE     SALVADOR ALLENDE           
RUE        SALVETAT                   
ALLEE      DE SAVOIE                  
RUE        DE LA SAVONNERIE           
PASSAGE    DU SCULPTEUR               
RUE        DE SEBASTOPOL              
SQUARE     SEBASTOPOL                 
TOUR       DE SEINE                   
RUE        SPINOZA                    
BOULEVARD  STALINGRAD                 
ALLEE      DES TERRASSES DE SEINE     
RUE        THEOPHILE DUCLOUX          
ALLEE      DES TILLEULS               
PASSAGE    TIRNOVA                    
RUE        TRAVERSIERE                
VC         TRAVERSIERE                
ALLEE      DES TROENES                
PASSAGE    DES TROIS COMMUNES         
CHEMIN     DES VACHES                 
RUE        VASCO DE GAMA              
RUE        DE VERDUN                  
AVENUE     VICTOR HUGO                
RUE        VICTOR JEROME              
AVENUE     VILLENEUVE ST GEORGES      
AVENUE     VINGT CINQ AOUT 1944       
QUAI       VOLTAIRE                   
RUE        WAGNER                     
RUE        WALDECK ROUSSEAU           
RUE        YVES LEGER                 
AVENUE     YVONNE MARCAILLOUX         
           commune :     CRETEIL                        departement : VAL DE MARNE                  
QUA        LA HAYE AUX MOINES         
QUA        PALAIS DE JUSTICE          
ZI         DES PETITES HAIES          
CITE       CASTEL LAFER               
CITE       MONT MESLY                 
CENTRE     BLEUETS PINS               
LIEU-DIT   CAR DE POMPADOUR           
LIEU-DIT   LE CARREFOUR DE LA ROUE    
LIEU-DIT   LE CHEMIN DE VALENTON      
LIEU-DIT   LE CHEMIN DES VACHES       
LIEU-DIT   LE CLOSEAU                 
LIEU-DIT   LES COCHETS                
LIEU-DIT   CROIX DE MESLY             
LIEU-DIT   LA CROIX DES MECHES        
LIEU-DIT   L ECHAT                    
LIEU-DIT   FONTAINE SAINT CHRISTOPHE  
LIEU-DIT   LE GRAND FOSSE             
LIEU-DIT   LE GRAND MARAIS            
LIEU-DIT   LES GUIBLETS               
LIEU-DIT   LA HAIE DE BREVANNES       
LIEU-DIT   ILE DE LA GUYERE           
LIEU-DIT   ILE DES PEUPLIERS          
LIEU-DIT   ILE DES RAVAGEURS          
LIEU-DIT   LA LEVRIERE                
LIEU-DIT   LES MALFOURCHES            
LIEU-DIT   LE MARAIS DE MESLY         
LIEU-DIT   MESLY                      
LIEU-DIT   LE NOYER HABRU             
LIEU-DIT   LES ORMES DE MESLY         
LIEU-DIT   PATIS DE LA PUCELLE        
LIEU-DIT   LA PLUMERETTE              
LIEU-DIT   LE PRE DIMANCHE            
LIEU-DIT   LA QUINTE                  
LIEU-DIT   LE SIFFLET DU CHAUDRONNIER 
LIEU-DIT   SOUS LE PARC               
LIEU-DIT   METRO CRETEIL PREFECTURE   
LIEU-DIT   METRO CRETEIL UNIVERSITE   
LIEU-DIT   LA BASSE QUINTE            
LIEU-DIT   LES BOUVETS                
LIEU-DIT   ILE BRISE PAIN             
LIEU-DIT   HAMEAU DE MESLY            
LIEU-DIT   ENCEINTE METRO CRETEIL ECH 
LIEU-DIT   L ORMETEAU                 
LIEU-DIT   LES PENDANTS DE MESLY      
LIEU-DIT   LES COTEAUX DU SUD         
LIEU-DIT   LA HAUTE QUINTE            
LIEU-DIT   ZZ 2                       
           BRAS DU CHAPITRE MARNE     
           BRAS DES RAVAGEURS MARNE   
           LA MARNE                   
PONT       DE CRETEIL                 
AUTOROUTE  A 86                       
LIGN       METRO NO 8                 
PASSERELLE DE CRETEIL                 
           BRAS DE LA GUYERE          
LIGN       SNCF PARIS LYON            
           ESTACADE LAC DE CRETEIL    
LIGN       SNCF PARIS MONTARGIS       
DIG        D ALFORTVILLE              
COUR       DE LA BADIANE              
DEVI       C.D.60                     
PLACE      DE L ABBAYE                
ESPLANADE  DES ABYMES                 
ALLEE      DES ACACIAS                
RUE        ALBERT EINSTEIN            
RUE        ALBERT DOYEN               
RUE        ALBERT GLEIZES             
RUE        ALBERT THOMAS              
RUE        ALEXANDRE                  
QUAI       DE L ANSE DES SOURCES      
RUE        ALFRED DE MUSSET           
RUE        ALFRED SISLEY              
RUE        ALFRED THOMEREAU           
PLACE      DES ALIZES                 
RUE        ALPHONSE DAUDET            
ALLEE      ALPHONSE LAMARTINE         
RUE        ALLARY                     
RUE        AMBROISE PARE              
RUE        AMEDEE LAPLACE             
RUE        AMEDEO MODIGLIANI          
RUE        ANATOLE FRANCE             
SQUARE     ANDRE MERCIER              
VOIE       ANDRE BOULLE               
PASSAGE    DES ANCILLES               
IMPASSE    ANDRE LE NOTRE             
RUE        D ANJOU                    
RUE        ANDRE MAUROIS              
RUE        ANTOINE LAVOISIER          
RUE        ANTOINE BOURDELLE          
RUE        ANTOINE ETEX               
IMPASSE    ANTOINE LOUIS BARYE        
RUE        ARISTIDE MAILLOL           
RUE        ARMAND GUILLAUMIN          
IMPASSE    AUGUSTE RODIN              
RUE        DES ARCHIVES               
PASSAGE    DES ARGONAUTES             
CHEMIN     DES ATTRIPES               
RUE        D ARTIMON                  
RUE        AUGUSTE PERRET             
RUE        DE L AVERSE                
RUE        AUGUSTE RENOIR             
CRS        DE LA BADIANE              
RUE        DU BARRAGE                 
CHEMIN     DES BASSINS                
RUE        DES BAUDRIEUX              
RUE        DE LA BASSE QUINTE         
RUE        DES BATILLAGES             
AVENUE     BEAU RIVAGE                
RUE        BEAU SITE                  
RUE        DU BEL AIR                 
RUE        BENJAMIN MOLOISE           
SQUARE     BENJAMIN MOLOISE           
AVENUE     BERNARD HALPERN            
RUE        DE BELLEVUE                
RUE        BERNARD PALISSY            
RUE        BERTHE MORISOT             
RUE        BERTHOLD MAHN              
RUE        BLAISE PASCAL              
IMPASSE    BLANCHARD                  
RUE        DES BLEUETS                
CHEMIN     DES BOEUFS                 
CITE       DES BLEUETS                
PLACE      DES BOLETS                 
RUE        DE BONNE                   
RUE        DE BONNE PROLONGEE         
RUE        DE BORDEAUX                
RUE        DES BORDIERES              
PLACE      DES BOULEAUX               
RUE        DU BOURG                   
ALLEE      DES BOURGEONS              
ALLEE      DES BOUTONS D OR           
PLACE      DES BOUTONS D ARGENT       
RUE        DE BOURGOGNE               
ALLEE      BOURVIL                    
RUE        DES BOUVETS                
CHEMIN     DU BRAS DU CHAPITRE        
RUE        DE BRETAGNE                
AVENUE     DE LA BRECHE               
SENTIER    DES HAIES DE BREVANNES     
RUE        DE BRIE                    
QUAI       DE LA BRISE                
RUE        DU BUISSON                 
ALLEE      DE LA BUTTE BLANCHE        
RUE        DES BUTTES                 
RUE        DES CAILLOTINS             
RUE        CALMETTE                   
RUE        CAMILLE DARTOIS            
RUE        CAMILLE PISSARO            
RUE        CAMILLE ROBERT             
RUE        DU CANAL                   
RUE        DU CAP                     
ALLEE      CARPENTIER                 
IMPASSE    DES CASCADES               
RUE        DE CASTEL                  
AVENUE     DE CEINTURE                
CENTRE     CIAL GABRIEL FAURE         
           CTRE RLGT EMOULEUSES       
ALLEE      CENTRALE                   
           CTRE CIAL DE L ECHAT       
ALLEE      CERISIERS                  
RUE        CESAR FRANCK               
SENTIER    DES CERCIS                 
AVENUE     DU CHAPITRE                
RUE        CHARCOT                    
PLACE      CHARLES BEUVIN             
RUE        CHARLES BEUVIN             
IMPASSE    CHARLES FREDERIC           
IMPASSE    CHARLES QUENNOY            
IMPASSE    CHARLES VILDRAC            
RUE        CHARLES DESPIAU            
RUE        CHARLES GOUNOD             
AVENUE     CHARLOT                    
RUE        CHARPY                     
RUE        CHARLES PEGUY              
IMPASSE    CHARLES GARNIER            
RUE        CHARLES-GUSTAVE STOSKOPF   
RUE        CHARRIER                   
RUE        DU CHATEAU                 
AVENUE     DU CHEM DE MESLY           
RUE        DU CHEMIN VERT             
IMPASSE    CHERET                     
RUE        CHERET                     
PASSAGE    DES CHEVALIERS DE L ARC    
ROUTE      DE CHOISY                  
RUE        CLAUDE DEBUSSY             
RUE        CLAUDE VASCONI             
RUE        CLAUDE MONET               
RUE        CLAUDE NICOLAS LEDOUX      
RUE        CLAUDE PERRAULT            
RUE        DU CLIQUART                
RUE        DU COMMANDANT PARIS        
RUE        DES CLAVISIS               
AVENUE     CORVISART                  
RUE        DU CDT JOYEN BOULARD       
ALLEE      COMMERCE                   
ALLEE      DE LA COTE D OR            
RUE        DE COURCY                  
ALLEE      DES COUCOUS                
AVENUE     COMPAGNONS DE LIBERATION   
           CENTRE COMMERCIAL DU PALAI 
VC         CENTRE CIAL REGIONAL CCR   
AVENUE     COURTOIS                   
PASSAGE    DES COUDRIERS              
RUE        DES CORBIERES              
           CENTRE CIAL DE LA HABETTE  
CHEMIN     CRETEIL MESLY ET VALENTON  
           CTRE CIAL DE LA LEVRIERE   
QUAI       DE LA CROISETTE            
RUE        LA CROIX DES CRAIES        
PLACE      DU CLOS DES VERGERS        
RUE        DU CLOS DE TART            
RUE        DU CLOS DE VOUGEOT         
RUE        DU CLOS FOURTET            
RUE        DU CLOS SAINT DENIS        
PLACE      DU CLOS SAINT JACQUES      
SENTIER    DES COTEAUX                
RUE        DE COTONOU                 
CHEMIN     DE LA COULEE VERTE         
PLACE      DE LA CROIX DES MECHES     
RUE        DAGOBERT                   
RUE        DAVID D ANGERS             
PASSAGE    DEBACQ                     
VILLA      DEMONT                     
RUE        DENFERT ROCHEREAU          
SQUARE     DENIS JULLIEN              
ALLEE      DENIS PAPIN                
RUE        DU DEPART                  
RUE        DIDEROT                    
ALLEE      DU DOCT DUPEYROUX          
RUE        DU DOCTEUR METIVET         
RUE        DU DOCTEUR PLICHON         
AVENUE     DU DOC PAUL CASALIS        
SQUARE     DU DOCTEUR MATTEI          
RUE        DU DOCTEUR PINEL           
RUE        DU DOCTEUR RAMON           
SQUARE     DOMINIQUE DURANTON         
PLACE      D EAU                      
SQUARE     DE L EAU VIVE              
RUE        DE L ECHAT                 
RUE        DES ECOLES                 
RUE        EDGARD DEGAS               
SQUARE     EDISON                     
RUE        EDMOND FOUINAT             
RUE        EDMOND DE GONCOURT         
RUE        EDOUARD MANET              
RUE        EDOUARD LE CORBUSIER       
RUE        EDOUARD VUILLARD           
RUE        DES EGLANTIERS             
PLACE      DE L EGLISE                
RUE        ELOI ALDEBERT              
PLACE      EMMANUEL CHABRIER          
RUE        EMMANUEL CHABRIER          
RUE        DES EMOULEUSES             
ALLEE      DES ERABLES                
RUE        ERNEST MALLET              
PASSAGE    DE L ESPERANCE             
RUE        DE L ESPERANCE             
IMPASSE    EUGENE DELACROIX           
RUE        EUGENE DUPUIS              
RUE        EUGENE FREYSSINET          
RUE        D ESTIENNE D ORVES         
SQUARE     ETEX                       
PLACE      DE L EUROPE                
RUE        FALGUIERE                  
RUE        DE FALKIRK                 
REMPART    DU FAUNE                   
VOIE       FELIX EBOUE                
RUE        FELIX MAIRE                
AVENUE     DE LA FERME                
RUE        FERDINAND DE LESSEPS       
IMPASSE    FERNAND LEGER              
RUE        FERNAND POUILLON           
VILLA      DES FLEURS                 
RUE        DE LA FONTAINE ST CHRISTOP 
RUE        DES FONTENELLES            
RUE        FOSSE AUX MOINES           
AVENUE     DE LA FRANCE LIBRE         
RUE        FRANCIS PICABIA            
RUE        FRANCOIS MANSARD           
AVENUE     FRANCOIS MAURIAC           
IMPASSE    FRANCOIS RUDE              
AVENUE     FRANCOIS MITTERRAND        
RUE        FRANCOIS VILLON            
MAIL       FRANCOIS MITTERRAND        
RUE        FREDERIC MISTRAL           
SQUARE     DES FRENES                 
RUE        GABRIEL FAURE              
PLACE      GABRIEL FAURE              
RUE        GABRIEL PERI               
RUE        GABRIEL PIERNE             
RUE        GABRIEL DE RONNE           
VILLA      GABRIELLE                  
BOULEVARD  DE LA GAITE                
RUE        GAIDELIN MICHEL            
RUE        DES GALETS                 
ALLEE      GEORGES BRAQUE             
VILLA      GALIENI                    
RUE        DU GALION                  
RUE        GASPARD MONGE              
RUE        DU GAL DE LACHARRIERE      
RUE        DU GAL DE MARBOT           
AVENUE     DU GAL GALLIENI            
RUE        DU GENERAL LECLERC         
